Reception date,Reception time,aggregation id ,aggregation name,obsw.cdh.telemetry.DataPool.platform.BAT1.batteryCurrent[0].value,obsw.cdh.telemetry.DataPool.platform.BAT1.batteryCurrent[1].value,obsw.cdh.telemetry.DataPool.platform.BAT1.batteryCurrent[2].value,obsw.cdh.telemetry.DataPool.platform.BAT1.batteryVoltage[0].value,obsw.cdh.telemetry.DataPool.platform.BAT1.batteryVoltage[1].value,obsw.cdh.telemetry.DataPool.platform.BAT1.batteryVoltage[2].value,obsw.cdh.telemetry.DataPool.platform.EPS.switchCurrents[0].value,obsw.cdh.telemetry.DataPool.platform.EPS.switchCurrents[1].value,obsw.cdh.telemetry.DataPool.platform.EPS.switchCurrents[2].value,obsw.cdh.telemetry.DataPool.platform.EPS.switchCurrents[3].value,obsw.cdh.telemetry.DataPool.platform.EPS.switchCurrents[4].value,obsw.cdh.telemetry.DataPool.platform.EPS.switchCurrents[5].value,obsw.cdh.telemetry.DataPool.platform.EPS.switchCurrents[6].value,obsw.cdh.telemetry.DataPool.platform.EPS.switchCurrents[7].value,obsw.cdh.telemetry.DataPool.platform.EPS.switchCurrents[8].value,obsw.cdh.telemetry.DataPool.platform.EPS.switchCurrents[9].value,obsw.cdh.telemetry.DataPool.platform.EPS.switchVoltages[0].value,obsw.cdh.telemetry.DataPool.platform.EPS.switchVoltages[1].value,obsw.cdh.telemetry.DataPool.platform.EPS.switchVoltages[2].value,obsw.cdh.telemetry.DataPool.platform.EPS.switchVoltages[3].value,obsw.cdh.telemetry.DataPool.platform.EPS.switchVoltages[4].value,obsw.cdh.telemetry.DataPool.platform.EPS.switchVoltages[5].value,obsw.cdh.telemetry.DataPool.platform.EPS.switchVoltages[6].value,obsw.cdh.telemetry.DataPool.platform.EPS.switchVoltages[7].value,obsw.cdh.telemetry.DataPool.platform.EPS.switchVoltages[8].value,obsw.cdh.telemetry.DataPool.platform.EPS.switchVoltages[9].value,obsw.cdh.telemetry.DataPool.platform.EPS.busCurrents[0].value,obsw.cdh.telemetry.DataPool.platform.EPS.busCurrents[1].value,obsw.cdh.telemetry.DataPool.platform.EPS.busCurrents[2].value,obsw.cdh.telemetry.DataPool.platform.EPS.busCurrents[3].value,obsw.cdh.telemetry.DataPool.platform.EPS.busVoltages[0].value,obsw.cdh.telemetry.DataPool.platform.EPS.busVoltages[1].value,obsw.cdh.telemetry.DataPool.platform.EPS.busVoltages[2].value,obsw.cdh.telemetry.DataPool.platform.EPS.busVoltages[3].value,obsw.cdh.telemetry.DataPool.platform.EPS.BcrOutputCurrent.value,obsw.cdh.telemetry.DataPool.platform.EPS.BcrOutputVoltage.value
2025-03-13,01:24:44.944,CCT_AGGREGATOR,CCT_AGGREGATOR,5,0,2,645,128,448,258,48,821,884,297,233,169,361,320,128,64,64,64,0,0,0,0,0,0,0,0,0,201,710,974,962,727,478,523,263
2025-03-13,01:25:44.948,CCT_AGGREGATOR,CCT_AGGREGATOR,5,0,2,652,640,448,194,48,757,948,361,233,169,361,320,64,64,64,64,0,0,0,0,0,0,0,0,0,201,710,718,962,983,478,523,263
2025-03-13,01:26:44.949,CCT_AGGREGATOR,CCT_AGGREGATOR,5,0,2,660,128,512,194,48,757,948,297,233,169,361,256,128,64,64,128,0,0,0,0,0,0,0,0,0,201,710,974,962,727,478,523,263
2025-03-13,01:27:44.950,CCT_AGGREGATOR,CCT_AGGREGATOR,5,0,2,667,640,448,194,48,757,948,297,233,169,297,320,128,64,64,64,0,0,0,0,0,0,0,0,0,201,710,718,706,727,478,523,263
2025-03-13,01:28:44.952,CCT_AGGREGATOR,CCT_AGGREGATOR,5,0,2,675,128,512,193,1008,757,948,297,233,169,361,320,64,128,64,64,0,0,0,0,0,0,0,0,0,201,454,974,962,983,478,523,7
2025-03-13,01:29:44.941,CCT_AGGREGATOR,CCT_AGGREGATOR,5,0,2,682,640,448,258,48,757,948,297,233,169,297,320,64,64,64,64,0,0,0,0,0,0,0,0,0,201,710,718,962,727,478,779,7
2025-03-13,01:30:44.944,CCT_AGGREGATOR,CCT_AGGREGATOR,5,0,2,690,128,448,257,1008,757,1012,297,233,169,297,320,64,64,64,128,0,0,0,0,0,0,0,0,0,201,710,718,706,727,478,523,263
2025-03-13,01:31:44.948,CCT_AGGREGATOR,CCT_AGGREGATOR,5,0,2,697,640,448,194,48,757,1012,297,233,169,361,256,64,128,64,128,0,0,0,0,0,0,0,0,0,201,454,718,706,983,478,523,519
2025-03-13,01:32:44.949,CCT_AGGREGATOR,CCT_AGGREGATOR,5,0,2,705,128,448,257,1008,757,948,297,233,169,297,320,128,64,64,64,0,0,0,0,0,0,0,0,0,201,710,718,706,983,478,523,7
2025-03-13,01:33:44.953,CCT_AGGREGATOR,CCT_AGGREGATOR,5,0,2,712,640,512,194,48,757,884,297,233,169,297,320,64,64,128,64,0,0,0,0,0,0,0,0,0,201,710,718,706,983,478,523,7
2025-03-13,01:34:44.954,CCT_AGGREGATOR,CCT_AGGREGATOR,5,0,2,720,128,448,194,48,757,1012,297,233,169,297,320,64,64,64,64,0,0,0,0,0,0,0,0,0,201,454,718,706,727,478,523,263
